Iteration,Run,Fitness
0,0,0.2333300914
1,0,0.2333300914
2,0,0.2333300914
3,0,0.2236550382
4,0,0.2234987792
5,0,0.2234987792
6,0,0.2234987792
7,0,0.2234987792
8,0,0.2234987792
9,0,0.2234987792
10,0,0.2234987792
11,0,0.2234987792
12,0,0.2234987792
13,0,0.2234987792
14,0,0.2234987792
15,0,0.2234987792
16,0,0.2234987792
17,0,0.2234987792
18,0,0.2234987792
19,0,0.2234987792
20,0,0.2234987792
21,0,0.2234987792
22,0,0.2234987792
23,0,0.2234987792
24,0,0.2234987792
25,0,0.2234987792
26,0,0.2234987792
27,0,0.2234987792
28,0,0.2234987792
29,0,0.2234987792
30,0,0.2234987792
31,0,0.2234987792
32,0,0.2234987792
33,0,0.2234987792
34,0,0.2234987792
35,0,0.2234987792
36,0,0.2234987792
37,0,0.2234987792
38,0,0.2234987792
39,0,0.2234987792
40,0,0.2234987792
41,0,0.2234987792
42,0,0.2234987792
43,0,0.2234987792
44,0,0.2234987792
45,0,0.2234987792
46,0,0.2234987792
47,0,0.2234987792
48,0,0.2234987792
49,0,0.2234987792
50,0,0.2234987792
51,0,0.2234987792
52,0,0.2234987792
53,0,0.2234987792
54,0,0.2234987792
55,0,0.2234987792
56,0,0.2234987792
57,0,0.2234987792
58,0,0.2234987792
59,0,0.2234987792
60,0,0.2234987792
61,0,0.2234987792
62,0,0.2234987792
63,0,0.2234987792
64,0,0.2234987792
65,0,0.2234987792
66,0,0.2234987792
67,0,0.2234987792
68,0,0.2234987792
69,0,0.2234987792
70,0,0.2234987792
71,0,0.2234987792
72,0,0.2234987792
73,0,0.2234987792
74,0,0.2234987792
0,1,0.2353497380
1,1,0.2353497380
2,1,0.2353497380
3,1,0.2353497380
4,1,0.2353497380
5,1,0.2353497380
6,1,0.2353497380
7,1,0.2228115025
8,1,0.2228115025
9,1,0.2228115025
10,1,0.2228115025
11,1,0.2228115025
12,1,0.2228115025
13,1,0.2227489257
14,1,0.2227489257
15,1,0.2227489257
16,1,0.2227489257
17,1,0.2227489257
18,1,0.2227489257
19,1,0.2227489257
20,1,0.2227489257
21,1,0.2227489257
22,1,0.2227489257
23,1,0.2225460114
24,1,0.2225460114
25,1,0.2225460114
26,1,0.2225460114
27,1,0.2225460114
28,1,0.2225460114
29,1,0.2225460114
30,1,0.2225460114
31,1,0.2225460114
32,1,0.2225460114
33,1,0.2225460114
34,1,0.2225460114
35,1,0.2225460114
36,1,0.2225460114
37,1,0.2225460114
38,1,0.2225460114
39,1,0.2225460114
40,1,0.2225460114
41,1,0.2225460114
42,1,0.2225460114
43,1,0.2225460114
44,1,0.2225460114
45,1,0.2222866314
46,1,0.2222866314
47,1,0.2222866314
48,1,0.2222866314
49,1,0.2222866314
50,1,0.2222866314
51,1,0.2222866314
52,1,0.2222866314
53,1,0.2222866314
54,1,0.2222866314
55,1,0.2222866314
56,1,0.2222866314
57,1,0.2222866314
58,1,0.2222866314
59,1,0.2222866314
60,1,0.2222866314
61,1,0.2222866314
62,1,0.2222866314
63,1,0.2222866314
64,1,0.2222866314
65,1,0.2222866314
66,1,0.2222866314
67,1,0.2222866314
68,1,0.2222866314
69,1,0.2222866314
70,1,0.2222866314
71,1,0.2222866314
72,1,0.2222866314
73,1,0.2222866314
74,1,0.2222866314
0,2,0.2338949116
1,2,0.2338949116
2,2,0.2338949116
3,2,0.2217963419
4,2,0.2217963419
5,2,0.2217963419
6,2,0.2217963419
7,2,0.2217963419
8,2,0.2217963419
9,2,0.2217963419
10,2,0.2217963419
11,2,0.2217963419
12,2,0.2217963419
13,2,0.2217963419
14,2,0.2217963419
15,2,0.2217963419
16,2,0.2217963419
17,2,0.2217963419
18,2,0.2217963419
19,2,0.2217963419
20,2,0.2217963419
21,2,0.2217963419
22,2,0.2217963419
23,2,0.2217963419
24,2,0.2217963419
25,2,0.2217963419
26,2,0.2217963419
27,2,0.2217963419
28,2,0.2217963419
29,2,0.2217963419
30,2,0.2217963419
31,2,0.2217963419
32,2,0.2217963419
33,2,0.2217963419
34,2,0.2217963419
35,2,0.2217963419
36,2,0.2217963419
37,2,0.2217963419
38,2,0.2217963419
39,2,0.2217963419
40,2,0.2217963419
41,2,0.2217963419
42,2,0.2217963419
43,2,0.2217963419
44,2,0.2217963419
45,2,0.2217963419
46,2,0.2217963419
47,2,0.2217963419
48,2,0.2217963419
49,2,0.2217963419
50,2,0.2217963419
51,2,0.2217963419
52,2,0.2217963419
53,2,0.2217963419
54,2,0.2217963419
55,2,0.2217963419
56,2,0.2217963419
57,2,0.2145129052
58,2,0.2145129052
59,2,0.2145129052
60,2,0.2145129052
61,2,0.2145129052
62,2,0.2145129052
63,2,0.2145129052
64,2,0.2145129052
65,2,0.2145129052
66,2,0.2145129052
67,2,0.2145129052
68,2,0.2145129052
69,2,0.2145129052
70,2,0.2145129052
71,2,0.2145129052
72,2,0.2145129052
73,2,0.2145129052
74,2,0.2145129052
0,3,0.2255559867
1,3,0.2255559867
2,3,0.2255559867
3,3,0.2255559867
4,3,0.2255559867
5,3,0.2255559867
6,3,0.2255559867
7,3,0.2255559867
8,3,0.2255559867
9,3,0.2255559867
10,3,0.2150402229
11,3,0.2150402229
12,3,0.2150402229
13,3,0.2150402229
14,3,0.2150402229
15,3,0.2150402229
16,3,0.2150402229
17,3,0.2150402229
18,3,0.2150402229
19,3,0.2150402229
20,3,0.2150402229
21,3,0.2150402229
22,3,0.2150402229
23,3,0.2150402229
24,3,0.2150402229
25,3,0.2150402229
26,3,0.2150402229
27,3,0.2150402229
28,3,0.2150402229
29,3,0.2150402229
30,3,0.2150402229
31,3,0.2150402229
32,3,0.2150402229
33,3,0.2150402229
34,3,0.2150402229
35,3,0.2150402229
36,3,0.2150402229
37,3,0.2150402229
38,3,0.2150402229
39,3,0.2150402229
40,3,0.2150402229
41,3,0.2150402229
42,3,0.2150402229
43,3,0.2150402229
44,3,0.2150402229
45,3,0.2150402229
46,3,0.2150402229
